specimen,reference_no,subfamily,tribe,genus,fossil,min_ma,max_ma,notes
Formica_serresi,38999,Formicinae,None,Formica,Yes,23.03,28.1,Note
Formica_seuberti,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_strangulata,40999,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_surinamensis,44587,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_trigona,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_tripartita,38999,Formicinae,None,Formica,Yes,28.4,33.9,Note
Formica_ungeri,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_zherikhini,44522,Formicinae,None,Formica,Yes,33.9,38,Note
Formicinae,44418,Formicinae,None,None,Yes,46.2,50.3,Note
Fushuniformica_spinata,40725,Formicinae,None,Fushuniformica,Yes,48.6,55.8,Note
Gesomyrmex_bremii,37344,Formicinae,None,Gesomyrmex,Yes,11.608,12.7,Note
Gesomyrmex_breviceps,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_curiosus,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_flavescens,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_germanicus,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_hoernesi,40999,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_incertus,56094,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_macrops,56094,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_magnus,56094,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_pulcher,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Glaphyromyrmex_oligocenicus,38999,Formicinae,None,Glaphyromyrmex,Yes,28.4,33.9,Note
Heeridris_croaticus,51760,Formicinae,None,Heeridris,Yes,11.608,12.7,Note
Huaxiaformica_mallepetiolata,40725,Formicinae,None,Huaxiaformica,Yes,48.6,55.8,Note
Imhoffia_nigra,37344,Formicinae,None,Imhoffia,Yes,11.608,12.7,Note
Imhoffia_pallida,38709,Formicinae,None,Imhoffia,Yes,11.608,12.7,Note
Kyromyrma_neffi,36269,Formicinae,None,Kyromyrma,Yes,89.8,93.9,Note
Lasius,39931,Formicinae,None,Lasius,Yes,20.44,23.03,Note
Lasius_anthracinus,51760,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_chambonensis,44462,Formicinae,None,Lasius,Yes,2.588,3.6,Note
Lasius_crispus,44462,Formicinae,None,Lasius,Yes,7.246,11.62,Note
Lasius_epicentrus,38999,Formicinae,None,Lasius,Yes,23.03,28.1,Note
Lasius_globularis,38709,Formicinae,None,Lasius,Yes,23.03,28.1,Note
Lasius_glom,55770,Formicinae,None,Lasius,Yes,41.3,47.8,Note
Lasius_inflatus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_longaevus,51392,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_longipennis,37344,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_mordicus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_nemorivagus,40999,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_oblongus,37742,Formicinae,None,Lasius,Yes,5.333,11.608,Note
Lasius_occultatus,37344,Formicinae,None,Lasius,Yes,12.7,13.65,Note
Lasius_ophthalmicus,51392,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_peritulus,4971,Formicinae,None,Lasius,Yes,33.9,37.2,Note
Lasius_pumilus,44414,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_punctulatus,44414,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_schiefferdeckeri,44414,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_tertiarius,44614,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_truncatus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_validus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_vetulus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Leptogasteritus_capricornutes,40725,Formicinae,None,Leptogasteritus,Yes,48.6,55.8,Note
Leucotaphus_donisthorpei,51861,Formicinae,None,Leucotaphus,Yes,33.9,38,Note
Leucotaphus_gurnetensis,37729,Formicinae,None,Leucotaphus,Yes,33.9,38,Note
Liaoformica_longipetiolata,40725,Formicinae,None,Liaoformica,Yes,48.6,55.8,Note
Longiformica_dongzhouheensis,40725,Formicinae,None,Longiformica,Yes,48.6,55.8,Note
Longiformica_guchengziensis,40725,Formicinae,None,Longiformica,Yes,48.6,55.8,Note
Magnogasterites_curticornutus,40725,Formicinae,None,Magnogasterites,Yes,48.6,55.8,Note
Myrmecorhynchus_novaeseelandiae,59088,Formicinae,None,Myrmecorhynchus,Yes,20.44,23.03,Note
Nylanderia_pygmaea,44414,Formicinae,None,Nylanderia,Yes,33.9,38,Note
Nylanderia_vetula,44618,Formicinae,None,Nylanderia,Yes,13.82,20.44,Note
Oecophylla_atavina,37729,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_bartoniana,41450,Formicinae,None,Oecophylla,Yes,41.3,47.8,Note
Oecophylla_brischkei,44414,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_crassinoda,40999,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_eckfeldiana,37721,Formicinae,None,Oecophylla,Yes,40.4,48.6,Note
Oecophylla_grandimandibula,51140,Formicinae,None,Oecophylla,Yes,5.333,8.7,Note
Oecophylla_leakeyi,44619,Formicinae,None,Oecophylla,Yes,15.97,20.44,Note
Oecophylla_longiceps,37721,Formicinae,None,Oecophylla,Yes,40.4,48.6,Note
Oecophylla_megarche,37729,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_obesa,37344,Formicinae,None,Oecophylla,Yes,11.608,12.7,Note
Oecophylla_praeclara,38738,Formicinae,None,Oecophylla,Yes,28.4,33.9,Note
Oecophylla_sicula,44518,Formicinae,None,Oecophylla,Yes,5.333,11.608,Note
Oecophylla_superba,38999,Formicinae,None,Oecophylla,Yes,28.4,33.9,Note
Orbicapitia_reticulata,40725,Formicinae,None,Orbicapitia,Yes,48.6,55.8,Note
Ovalicapito_fushunensis,40725,Formicinae,None,Ovalicapito,Yes,48.6,55.8,Note
Ovaligastrula_xilutianensis,40725,Formicinae,None,Ovaligastrula,Yes,48.6,55.8,Note
Plagiolepis_klinsmanni,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_kuenowi,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_labilis,44518,Formicinae,None,Plagiolepis,Yes,5.333,11.608,Note
Plagiolepis_minutissima,44578,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_paradoxa,44621,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_singularis,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_solitaria,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_squamifera,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_wheeleri,44621,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Polyrhachis_annosus,42983,Formicinae,None,Polyrhachis,Yes,5.333,7.246,Note
Prenolepis_henschei,39242,Formicinae,,Prenolepis,Yes,33.9,38,Note
Prodimorphomyrmex_primigenius,40999,Formicinae,None,Prodimorphomyrmex,Yes,33.9,38,Note
Protoformica_proformicoides,11234,Formicinae,None,Protoformica,Yes,33.9,38,Note
Protomyrmica_atavia,44624,Formicinae,None,Protomyrmica,Yes,33.9,38,Note
Protrechina_carpenteri,38990,Formicinae,None,Protrechina,Yes,38,41.3,Note
Pseudocamponotus_elkoanus,4971,Formicinae,None,Pseudocamponotus,Yes,28.4,37.2,Note
Pseudolasius_boreus,40999,Formicinae,None,Pseudolasius,Yes,33.9,38,Note
Sicilomyrmex_corniger,44518,Formicinae,None,Sicilomyrmex,Yes,5.333,11.608,Note
Sinoformica_longicapitata,40725,Formicinae,None,Sinoformica,Yes,48.6,55.8,Note
Sinotenuicapito_badis,40725,Formicinae,None,Sinotenuicapito,Yes,48.6,55.8,Note
Wilsonia_liaoningensis,40725,Formicinae,None,Wilsonia,Yes,48.6,55.8,Note
Wilsonia_megagastrosa,40725,Formicinae,None,Wilsonia,Yes,48.6,55.8,Note
Zatania_electra,44640,Formicinae,None,Zatania,Yes,13.82,20.44,Note
Formicium_berryi,44588,Formicinae,None,Formicium,Yes,38,41.3,Note
Formicium_brodiei,49700,Formicinae,None,Formicium,Yes,33.9,38,Note
